Source File	Size	loadResources	load	generateSnapshots	load-configure	scan	loadDepInfo	loadInfo	checkR4R4B	generateNarratives	validate	loadLists	checkConformanceResources	checkConformanceResources2	checkConformanceResources3	generateLogicalMaps	validateExpressions	scanForUsageStats	checkURLsUnique	processProvenanceDetails	generate1	generate2	generateLogicals	makeDependencies	generateExampleZip	generateValidationPack	scanProfilesForR5	scanExamplesForR5
/fsh-generated/resources/ImplementationGuide-test.ig.oddbear.json	2532	-	0	0	0	0	0	0	14	94	0	0	0	0	0	0	0	0	0	0	63	68	0	0	0	3	0	0
fsh-generated/resources/Patient-Pasient-1.json	1161	25	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	13	19	0	0	0	0	0	0
fsh-generated/resources/StructureDefinition-mal-observation-blodprove.json	2260	16	0	79	0	0	0	0	1	121	0	0	1	0	0	0	0	1	0	0	187	1228	0	0	0	11	0	2
fsh-generated/resources/StructureDefinition-test-mal-patient.json	832	21	0	113	0	0	0	0	0	68	0	0	0	0	0	0	0	3	0	0	237	929	0	0	0	12	0	2
fsh-generated/resources/StructureDefinition-test.encounter.oddbear.json	1337	21	0	88	1	0	0	0	0	54	0	0	0	0	0	0	0	1	0	0	175	476	0	0	0	8	1	1
/fsh-generated/includes/fsh-link-references.md	234	-	-	-	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
/fsh-generated/includes/menu.xml	1089	-	-	-	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
/input/pagecontent/index.md	1068	-	-	-	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
/template/config	0	-	-	-	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
/template/config/_config.yml	140	-	-	-	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
/input/images	0	-	-	-	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
/input/images/test.puml	389	-	-	-	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
/input/images/test.svg	8659	-	-	-	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
/temp/pages/_includes/artifacts.xml	2875	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	0	0	0	0	0	0	0
